PhysicianID,FirstName,LastName,PracticeID,SpecialtyID,Email
100,Arthur,Clark,23,14,CArthur@gmail.com
101,Jeffrey,Gray,3,13,GJeffrey@gmail.com
102,Dennis,Wright,7,23,WDennis@gmail.com
103,Jose,Smith,6,1,SJose@gmail.com
104,William,Taylor,26,2,TWilliam@gmail.com
105,Walter,Brooks,20,14,BWalter@gmail.com
106,Bruce,Turner,4,9,TBruce@gmail.com
107,Philip,Reed,22,5,RPhilip@gmail.com
108,Gary,Davis,18,19,DGary@gmail.com
109,Gregory,Lewis,24,6,LGregory@gmail.com
110,Stephen,Mitchell,12,31,MStephen@gmail.com
111,Justin,King,12,8,KJustin@gmail.com
112,Martin,Gonzalez,4,19,GMartin@gmail.com
113,Samuel,Perry,19,11,PSamuel@gmail.com
114,Dorothy,Diaz,19,4,DDorothy@gmail.com
115,Alice,Patterson,2,13,PAlice@gmail.com
116,Pamela,Harris,11,12,HPamela@gmail.com
117,Jessica,Bell,1,24,BJessica@gmail.com
118,Christina,Henderson,16,24,HChristina@gmail.com
119,Brandon,Jones,25,15,JBrandon@gmail.com
120,Richard,Howard,23,20,HRichard@gmail.com
121,Ruth,Robinson,21,1,RRuth@gmail.com
122,Amy,Evans,12,19,EAmy@gmail.com
123,Betty,Thompson,14,5,TBetty@gmail.com
124,Earl,Perez,6,1,PEarl@gmail.com
125,Melissa,Stewart,22,21,SMelissa@gmail.com
126,Katherine,Peterson,20,14,PKatherine@gmail.com
127,Diana,Johnson,4,9,JDiana@gmail.com
128,Carol,Bennett,22,5,BCarol@gmail.com
129,Willie,Hernandez,18,19,HWillie@gmail.com
130,Bonnie,Roberts,24,6,RBonnie@gmail.com
131,Frances,Jackson,12,31,JFrances@gmail.com
132,Terry,Edwards,7,8,ETerry@gmail.com
133,Bobby,Murphy,4,19,MBobby@gmail.com
134,Randy,Jenkins,4,11,JRandy@gmail.com
135,Janet,Lopez,19,4,LJanet@gmail.com
136,Todd,Collins,2,13,CTodd@gmail.com
137,Mark,Bryant,11,12,BMark@gmail.com
138,Joe,James,1,24,JJoe@gmail.com
139,Phillip,Barnes,16,24,BPhillip@gmail.com
140,Scott,Foster,25,15,FScott@gmail.com
141,Ronald,Scott,23,20,SRonald@gmail.com
142,Keith,Baker,21,1,BKeith@gmail.com
143,Teresa,Gonzales,12,19,GTeresa@gmail.com
144,Sara,Sanchez,14,5,SSara@gmail.com
145,Roger,Cooper,6,1,CRoger@gmail.com
146,Mildred,Long,22,21,LMildred@gmail.com
147,Marilyn,Butler,11,12,BMarilyn@gmail.com
148,Janice,Green,1,24,GJanice@gmail.com
149,Craig,Cox,16,24,CCraig@gmail.com
150,Michael,Adams,25,15,AMichael@gmail.com
151,Joan,Williams,23,20,WJoan@gmail.com
152,Irene,Young,21,1,YIrene@gmail.com
153,Rose,Hughes,12,19,HRose@gmail.com
154,Donna,Nelson,14,5,NDonna@gmail.com
155,John,Wood,6,1,WJohn@gmail.com
156,Linda,Campbell,22,21,CLinda@gmail.com
157,Catherine,Rivera,5,21,RCatherine@gmail.com
158,Lillian,Pochick,14,25,PLillian@gmail.com
